"ID"	"X"	"Y"	"Hmax"	"Hmean"	"Hstd"	"CV"	"VD"	"h10"	"h20"	"h30"	"h40"	"h50"	"h60"	"h70"	"h80"	"h90"
33	5895.51	1216.7	24.05	19.3133789954338	2.9560127648228	0.15305518343122	0.494010962983014	15.014	16.332	18.122	18.88	19.83	20.786	21.33	21.756	22.64
34	5896.69	1220	24.16	18.5114814814815	3.19421957436349	0.172553427318009	0.609054611896867	14.73	15.792	16.52	18.096	18.96	19.898	20.72	21.14	22.382
35	5900.6	1221.88	20.8	17.0356140350877	3.70646574208013	0.217571596447656	0.385734587534682	14.08	16.49	17.36	17.71	18.05	18.5	19.04	19.31	19.54
36	5899.84	1217.68	22.09	16.3924186046512	3.68157571299211	0.2245901475422	0.484987931695653	11.668	13.294	14.882	16.162	17.46	18.064	18.556	19.226	20.62
37	5902.87	1218.16	20.69	14.410989010989	5.19114749127028	0.360221459284425	0.410547923574925	6.931	8.24	9.395	15.064	17.375	17.726	18.247	19.12	19.746
38	5914.32	1216.12	19.68	16.6363870967742	2.57226743625663	0.154616950260516	1.04892738715571	14.146	15.246	16.14	16.794	17.39	17.8	18.136	18.46	18.87
39	5923.25	1215.84	20.94	16.5246913580247	3.01001631784817	0.182152649791335	0.9135819178453	13.9	14.578	15.252	16.172	17.35	17.876	18.394	18.73	19.672
40	5931.38	1210.57	21.05	16.991640625	3.24368986390123	0.190899156561065	0.866211003586655	14.52	15.326	16.535	16.856	17.46	18.228	18.651	19.258	20.122
41	5932.49	1206.36	20.16	15.4506205250597	3.17748367184489	0.205654113806709	0.945162527351064	11.76	12.93	14.574	15.312	16.04	16.528	17.206	18.04	19.05
42	5934.61	1210.2	18.04	12.9542911877395	3.2685682550561	0.252315484319947	0.588752791500305	8.04	9.6	11.06	12.18	13.88	14.66	15.37	15.89	16.89
43	5979.09	1202.77	20.79	16.5073400673401	3.5100129930908	0.212633469642719	0.669960073086553	11.486	15.706	16.218	16.864	17.46	17.912	18.4	18.8	19.362
44	5978.01	1195.96	19.38	15.4454071661238	2.92453349394453	0.189346480962889	0.692517651304956	13.048	14.42	14.9	15.222	15.58	16.392	16.744	17.654	18.34
45	5978.84	1198.76	20.94	16.3529552238806	3.42418991439514	0.209392728562891	0.755678870316483	12.646	15.49	16.144	16.612	17.02	17.744	18.136	18.634	19.49
46	5981.74	1194.03	18.4	13.7367567567568	4.2496976016266	0.309366881635746	0.500778236448535	6.242	13.22	14.445	14.914	15.275	15.58	15.87	16.658	17.087
47	5983.82	1197.56	18.89	13.6806622516556	2.93585853553889	0.21459915328175	0.681238862195755	10.352	10.68	11.953	12.77	13.33	14.046	15.241	16.94	17.949
48	5984.32	1192.1	18.67	15.1189666666667	2.07075203218982	0.13696385988834	0.676727346552074	12.71	13.424	14.267	14.89	15.45	15.98	16.13	17.03	17.481
49	5984.92	1194.43	20.41	15.7368333333333	3.06303752147092	0.19464128878984	0.812072815862489	12.525	14.046	14.97	15.696	15.915	16.522	17.546	18.586	19.177
50	5989.28	1199.36	19.75	14.1102415458937	3.59483103018029	0.25476750475802	0.466941869120931	9.08	12.412	13.556	14.27	14.34	15.5	16.3	17.012	18.064
51	5989.6	1196.18	18.54	15.2033913043478	2.8518144076558	0.187577518105467	0.259412149511628	12.848	14.026	14.788	15.372	15.93	16.42	16.85	17.01	17.48
52	5988.62	1193.13	17.41	12.9184328358209	3.36438352048316	0.260432791131926	0.302271548126593	7.067	10.184	11.872	13.22	13.785	14.544	15.282	15.924	16.065
53	5892.12	1216.9	23.38	17.8127906976744	3.51919055835948	0.197565368508986	0.678983104373914	12.14	15.19	16.4	17.23	18.61	19.22	19.93	20.97	22
54	5890.63	1212.54	21.85	18.2895384615385	3.19996208026241	0.174961335792682	0.586497033678464	13.893	15.4	16.899	18.94	19.57	20.168	20.573	20.784	20.991
55	5892.82	1207.99	25.94	19.8189173789174	3.45358777778538	0.174257135834229	0.791770995465927	15.51	16.7	17.94	19.26	20.04	21.28	22.09	22.76	24.18
56	5896	1210.84	24.18	17.9426666666667	4.03384704652403	0.224818702897602	0.575218244569263	13.424	14.648	15.352	17.36	18.73	19.348	20.604	21.432	22.48
57	5910.05	1208.57	19.99	15.3661904761905	4.13657110291491	0.269199520162426	0.568450971103742	7.797	14.342	15.422	15.824	16.085	16.906	17.994	18.434	19.14
58	5934.39	1196.53	22.56	15.5185416666667	4.86559960195144	0.313534590199451	0.866211003586655	7.112	11.516	13.478	15.738	16.845	18.12	19.213	19.72	20.685
59	5941.86	1195.55	22.69	17.9924666666667	2.94933866781699	0.163920752082371	0.676727346552074	14.728	16.006	17.204	17.74	18.285	18.792	19.646	20.456	21.217
60	5944.81	1195.92	21.1	15.8321160409556	4.99181003493167	0.315296453235847	0.660937041799192	6.394	13.782	16.334	16.72	17.57	18.336	18.86	19.288	19.76
61	5947.81	1194.88	21.04	14.5320444444444	4.23451633015612	0.291391644606135	1.01509101982811	9.484	11.51	12.757	13.982	15	16.38	17.13	18.422	19.362
62	5951.11	1192.26	22.27	15.2042152466368	5.04284320448549	0.331674020834517	1.00606798854075	8.165	11.17	12.88	15.03	16.095	17.7	18.635	19.43	21.04
