FID_1,Id,FID_2,PlotNum,TreeNum,Species,X1,Y1,Status_200,d13_2009,hc_2009,Status_201,Notes_2010,Damage_cla,break_h,h,Distance,ID,X2,Y2,Hmax,Hmean,Hstd,CV,VD,h10,h20,h30,h40,h50,h60,h70,h80,h90
31,0,26,TEXAS,71,1,5977.156,1222.904,11,215,11.5,11,NA,0,NA,18.778625,0,10,5976.87,1222.49,20.69,15.96770227,3.000113455,0.18788636,0.697029167,13.25,14.724,15.114,15.81,16.28,17.172,17.55,17.802,19
8,0,316,TEXAS,169,1,5977.853,1189.475,11,217,11.9,11,NA,0,NA,18.853454,0,71,5977.67,1189.22,19.19,13.24877076,4.752631778,0.35872247,0.678983104,3.93,9.56,13.47,13.94,14.6,15.5,16.21,16.8,17.89
28,0,118,TEXAS,88,1,5986.795,1209.759,11,218,10.9,11,NA,0,NA,18.890594,0,29,5986.78,1209.77,19.58,16.18972067,1.979308252,0.122257097,0.40378065,13.316,14.43,15.082,16.232,16.67,16.858,17.226,18.22,18.608
39,0,101,TEXAS,65,1,5972.113,1215.913,11,220,12.8,11,NA,0,NA,18.964332,0,25,5972.07,1215.25,20.53,14.77440758,4.608919423,0.311952909,0.951929801,6.549,11.66,14.693,15.734,16.335,17.282,17.697,18.13,18.91
68,0,159,TEXAS,369,1,5931.517,1211.577,11,220,14.1,11,NA,0,NA,18.964332,0,40,5931.38,1210.57,21.05,16.99164063,3.243689864,0.190899157,0.866211004,14.52,15.326,16.535,16.856,17.46,18.228,18.651,19.258,20.122
63,0,66,TEXAS,364,1,5937.703,1222.837,11,222,13.4,11,NA,0,NA,19.037356,0,20,5937.79,1222.92,21.88,17.52146067,4.111201065,0.234638033,0.803049785,14.965,16.12,16.47,17.81,18.465,19.29,19.805,20.12,20.85
33,0,21,TEXAS,69,1,5972.954,1222.805,11,225,10.6,11,NA,0,NA,19.145575,0,7,5973.36,1222.93,20.38,15.68633229,3.149022314,0.200749433,0.719586745,12.58,13.376,14.678,16.116,16.47,16.732,17.376,17.802,19.002
38,0,100,TEXAS,54,1,5970.096,1213.611,11,225,12.2,11,NA,0,NA,19.145575,0,24,5969.48,1213.25,21.65,15.53651351,4.548630695,0.292770363,0.834630394,7.19,13.496,15.167,15.692,16.355,17.258,18.15,19.108,20.07
11,0,220,TEXAS,182,1,5985.166,1194.677,11,226,13.6,11,NA,0,NA,19.181303,0,49,5984.92,1194.43,20.41,15.73683333,3.063037521,0.194641289,0.812072816,12.525,14.046,14.97,15.696,15.915,16.522,17.546,18.586,19.177
34,0,18,TEXAS,51,1,5969.86,1223.922,11,228,11.1,11,NA,0,NA,19.252246,0,6,5970.26,1223.93,18.52,13.24859532,4.052456464,0.305878198,0.674471589,5.726,11.484,12.334,12.882,14.23,15.386,15.766,16.384,16.79
