"","euc1","euc2","euc3","euc4","msn1","msn2","msn3","msn4","rf"
"d13_2009",0.700007250910059,0.714971528957518,0.700615481194881,0.709865135248793,0.725760115227302,0.742723494862596,0.725377294900159,0.739163478972778,0.751047292324543
"h",0.75201894117233,0.779727114404711,0.756282911055104,0.779214518757137,0.783561477272372,0.802101549308824,0.784839031691087,0.800756329934964,0.794996810881033
"Species2",NA,NA,NA,NA,0.433937088630714,0.522125661493069,0.436149397469033,0.527490924408928,NA
