ID;X;Y;Hmax;Hmean;Hstd;pene;CV;h10;h20;h30;h40;h50;h60;h70;h80;h90;TreeNum;Species;X_1;Y_1;d13_2009;hc_2009;Damage_cla;h
63;5953.75;1193.08;21.94;16.412808;5.209605;0.881944;0.317411;5.53;14.03;15.78;17.67;18.35;19.34;19.99;20.25;20.44;127;1;5954.114;1193.907;257;12.5;0;20.20975
64;5956.24;1193.89;22.33;17.701143;3.09138;0.686275;0.174643;15.246;15.896;16.94;17.386;17.83;18.312;19.39;20.262;20.89;133;1;5956.55;1193.868;249;12.9;0;19.958216
65;5964.58;1195.94;22.82;17.523906;5.351006;0.671004;0.305355;6.43;16.44;17.44;18.76;19.3;20.14;20.63;21.11;21.9;140;1;5964.562;1196.289;259;15.1;0;20.271237
66;5964.54;1194.11;20.67;14.725351;5.424625;0.817204;0.368387;5.764;7.236;14.965;16.892;17.715;18.04;18.349;18.676;18.956;142;1;5964.884;1193.474;189;14.6;0;17.734186
67;5966.66;1190.91;22.1;14.01508;6.595698;0.68306;0.470614;4.057;6.976;8.591;12.152;16.97;18.41;19.369;20.18;21.084;157;1;5966.734;1190.526;244;15.3;0;19.796309
68;5968.86;1193.58;19.66;14.771054;4.292248;0.691667;0.290585;5.108;12.902;13.096;14.828;16.255;16.706;17.837;18.1;18.468;158;1;5968.749;1193.181;235;12.9;0;19.495301
69;5969.51;1191.23;20.66;11.982558;6.444962;0.714681;0.537862;5.28;5.324;5.43;5.608;14.16;16.678;17.848;19.01;19.616;155;1;5969.936;1191.622;249;11.4;0;19.958216
70;5970.55;1188.53;21.53;15.055061;5.20577;0.561364;0.345782;5.068;12.592;14.488;15.85;16.75;17.612;18.248;19.158;20.214;154;1;5970.247;1188.47;242;12.3;0;19.7305
71;5977.67;1189.22;19.19;12.608176;5.07255;0.718341;0.402322;3.796;5.95;12.528;13.722;14.43;15.356;16;16.69;17.814;169;1;5977.853;1189.475;217;11.9;0;18.853454
72;5981.02;1190.89;18.43;13.948718;2.973568;0.75;0.213179;9.305;11.79;12.51;13.89;15.01;15.55;15.925;16.37;16.895;177;1;5980.83;1190.916;181;11.1;0;17.383454
73;5981.83;1186.93;21.97;17.158649;4.209941;0.677656;0.245354;12.128;16.086;16.642;18.016;18.45;18.834;19.516;19.906;20.588;175;1;5982.002;1186.773;280;12;0;20.885323
74;5894.34;1204.02;23.88;18.336836;3.877575;0.763889;0.211464;13.274;15.212;16.764;18.314;19.14;19.94;20.406;21.696;23.002;326;2;5894.274;1204.734;273;10.1;0;22.155479
75;5897.23;1200.2;27.67;19.374779;4.74567;0.818841;0.244941;12.856;15.392;16.992;18.81;19.55;20.716;22.656;23.91;25.26;325;2;5897.039;1200.337;364;9.7;0;27.590447
76;5898.61;1201.92;27.43;19.389432;4.693173;0.747029;0.242048;12.697;15.608;17.29;18.76;20.59;21.278;21.82;23.532;24.802;324;2;5898.486;1202.629;376;9.6;0;28.265008
77;5899.72;1196.23;25.09;18.342997;4.33786;0.834211;0.236486;12.092;14.74;16.432;17.882;18.77;20.136;21.15;22.59;23.478;322;2;5900.137;1196.946;292;10.6;0;23.339239
78;5903.45;1194.65;27.66;19.049293;4.727231;0.820623;0.248158;13.196;14.898;17.439;18.512;19.665;20.954;21.71;22.682;24.697;321;2;5903.274;1195.773;504;7;0;34.924478
79;5905.08;1198.84;25.92;19.475113;4.810164;0.751592;0.24699;13.438;16.558;18.498;19.742;20.935;21.588;22.171;23.054;24.215;320;2;5905.093;1199.289;289;11.5;0;23.154126
80;5913.71;1194.62;22.8;17.752044;4.131786;0.452145;0.23275;13.09;15.696;16.799;18.264;18.56;19.254;20.17;20.798;21.884;302;1;5913.794;1195.166;239;13.2;0;19.630638
81;5913.79;1190.47;24.21;16.413692;6.264187;0.751445;0.381644;4.258;14.566;16.78;17.93;18.21;19.084;19.737;21.234;22.431;287;1;5913.699;1191.233;308;13.8;0;21.623716
82;5918.77;1193.68;22.96;16.019864;5.343564;0.636462;0.333559;7.196;9.864;15.357;16.79;17.9;18.55;19.94;20.56;21.807;283;1;5918.296;1193.323;270;14.3;0;20.599878
83;5936.87;1187.63;25.5;16.591326;5.247234;0.728079;0.316264;9.584;12.722;14.444;16.252;17.49;18.638;19.736;20.968;22.704;204;2;5937.069;1188.017;293;7.6;0;23.400795
84;5941.44;1185.92;19.98;14.365722;3.889811;0.688153;0.27077;9.732;11.228;13.102;14.5;15.3;15.802;16.844;17.484;18.586;199;2;5941.047;1185.941;201;7.7;0;17.410781
85;5943.88;1185.1;21.88;14.712287;3.892859;0.753762;0.264599;10.05;11.74;12.53;13.68;14.98;15.85;16.75;18.22;19.68;198;2;5943.912;1185.941;235;7.4;0;19.704186
86;5947.48;1185.13;18.78;14.296626;3.073245;0.767355;0.214963;9.5;11.468;13.384;14.548;15.33;15.898;16.266;16.74;17.584;111;2;5947.346;1185.534;187;5.1;0;16.437434
